bundle_source_path,bytes,sha256,disposition,repository_destination
.gitignore,73,ae6cd47d076cff5482d3e7144ce261a5f75d0382d9cc9b1b1cfd7ca83eab2d06,Retained input; not published,
alibi-after-hours-play.html,1235197,76799448101a8e95df388901e4f7dc6ae766269e36e551d7ca28018aa001b84f,Retained input; not published,
artifacts/README.md,134,b124a60da6714eb32bf89ae4fa8319fcd6633ffe1e5d1b1c296b5e895bfad6b7,Retained input; not published,
build-info.json,3504,00bb53dc44038a0e5f203406db61b05b82f6569c649c006107e25c9372bff7df,Retained input; not published,
classic/404.html,320,12a8b58590ea4b11cb2f3b3b48d078b02e6561b67449de48e5368ae0afdd556e,Retained input; not published,
classic/_headers,587,8cd9b56bf312a740c628fe8c32de8eda093d81041a5480b51cc886fdfdee25e5,Retained input; not published,
classic/assets/alibi.2e96615fb56e.js,450725,2e96615fb56e2e5627f0e2440361894ac3987919634e4e8ac30755f5131d21f8,Retained input; not published,
classic/assets/alibi.4194d624d952.css,107503,4194d624d952fb9d8fa6388d4518039730dbad11160477299ab0b9b106e82a88,Retained input; not published,
classic/assets/bellweather.b17d2dccb6f9.webp,152190,b17d2dccb6f984c59c7a16741198395dc98e1b95a1fe8de74edf3f464a8a5e4a,Retained input; not published,
classic/assets/briar-house.f2c1c5c9afc5.webp,101738,f2c1c5c9afc5c09810c1eb3b93b54a030d9e12e8c61c68baa0815ecd9ee8622e,Retained input; not published,
classic/assets/cartographer.49e36b374b1b.webp,223624,49e36b374b1bfb198efbc3cde205e5d307ae9b36b4e6b17de1fc8e571f3d4a41,Retained input; not published,
classic/assets/evidence.641089132374.webp,151916,641089132374a1095078ca63f90045336aee1c187b0bf1cc6c549e1da02567eb,Retained input; not published,
classic/assets/glasshouse.9cff00f55ad1.webp,230770,9cff00f55ad18001daae9f0cd4cd25410a461199d8738cc85bdcd02d1be43ce9,Retained input; not published,
classic/assets/night-train.75e98fde460b.webp,127462,75e98fde460b71b269bb5ce8838f371eb8a4e44cbd927fcb96f99026b1de2b97,Retained input; not published,
classic/assets/quiet-town.2aedce9224f2.webp,243540,2aedce9224f26a1e403c316f113144d634bc445a7313e6da99174ba2028110b4,Retained input; not published,
classic/icons/icon-192.png,1010,7c2bc137ea31f3cc6532532eb4017c1b8897b74a726e919576fa20d15aedeac4,Retained input; not published,
classic/icons/icon-512.png,2648,f13e746f4fb06a68e953d4f0e7a9f4997f326616c981eb89a891be3a7408b862,Retained input; not published,
classic/icons/icon-maskable.png,2648,f13e746f4fb06a68e953d4f0e7a9f4997f326616c981eb89a891be3a7408b862,Retained input; not published,
classic/index.html,1838,7c33d8ee1d4b3216b18b3e51af85dca4d6143a7e3f2aec1c259da43e96cea1d9,Retained input; not published,
classic/manifest.webmanifest,1046,aceea39bcff3b324104ffb561008d29d7bac47f857071ff49fb27b17653da383,Retained input; not published,
classic/sw.js,1750,bbe622a74e392a90bab2a74a6aedd22ca431efaed79c976122c53be4d8f83892,Retained input; not published,
content/casebooks.json,7468,f3e3417c2135f1dc1d3c34f9ea050188816147b44eb8bf1714caa8adfa1efbf8,Verified equal; existing identities preserved,content/casebooks.json
content/catalog.json,169946,08a8d99cc6270b6d54d916b121fa13f2040baf1822e7f2fbde9c8d4b2578e729,Verified equal; existing identities preserved,content/catalog.json
content/legacy.json,70515,1c9177aa3b4f20a90ab29e733668aa77ae88ae8eaf4ee3e1aca892cf11e029ba,Verified equal; existing identities preserved,content/legacy.json
dist/404.html,1815,da2052f2625dc929800447e8bf392ff29e2d66f8115aee75ca32f4e9f74f52eb,Retained input; not published,
dist/_headers,552,fc14afc003b637f73639261f832b00d4442ac68e6b5498c92f200a80d161ae9f,Retained input; not published,
dist/assets/alibi.9243832b6330.css,141208,9243832b633084b2247fae61011f6d2b2b831299ac6abffad3f9f2524373c4fe,Retained input; not published,
dist/assets/alibi.fe368babd26d.js,438912,fe368babd26d89742b312a21ac8587b46bf4d39a840ed02acd079683ae84b3c3,Retained input; not published,
dist/assets/bellweather.478184366161.webp,43862,47818436616179f3fc73eb6a281265b3a94daf8b5eae2b3b124d51201a798b0c,Retained input; not published,
dist/assets/briar-house.a95e932cb296.webp,36424,a95e932cb2967437a6597c80c774f7e5e71914878c33817f7d9ec709c86c6f13,Retained input; not published,
dist/assets/cartographer.969ef632f64d.webp,68978,969ef632f64d80bd0e98cd0aef6f8485bb904f21f17a872bc966e6f8c1084ebb,Retained input; not published,
dist/assets/club-engines.b588200e4d50.js,8071,b588200e4d500b46142501983dab83407d0a5809ad0ca43f6d5b7d93bfba6e2e,Retained input; not published,
dist/assets/evidence.8feeb9a6e740.webp,48184,8feeb9a6e74075298dc5abbdab8a0a77846cf2b4a756c183ad33acefa9aa34bf,Retained input; not published,
dist/assets/glasshouse.bd172289bf17.webp,92032,bd172289bf17430bf3d27eb6c5623acc122e3f1689e1d9006345c397bdf7baac,Retained input; not published,
dist/assets/night-train.5bbfba871dc8.webp,42040,5bbfba871dc8c7508679551fd3bca2904bcc0c5ecd46dd15d293c43def8e0a22,Retained input; not published,
dist/assets/quiet-town.b672c8a82e11.webp,86856,b672c8a82e11a5c98af8817166bfb02521783cf169baf677ea636d1e0a3dc5e6,Retained input; not published,
dist/assets/validator.0a8af249f360.js,85250,0a8af249f3603e172446d819e88c6c18155c1842c04e4a900b96261160ba8f02,Retained input; not published,
dist/icons/icon-192.png,1010,7c2bc137ea31f3cc6532532eb4017c1b8897b74a726e919576fa20d15aedeac4,Retained input; not published,
dist/icons/icon-512.png,2648,f13e746f4fb06a68e953d4f0e7a9f4997f326616c981eb89a891be3a7408b862,Retained input; not published,
dist/icons/icon-maskable.png,2648,f13e746f4fb06a68e953d4f0e7a9f4997f326616c981eb89a891be3a7408b862,Retained input; not published,
dist/index.html,1815,da2052f2625dc929800447e8bf392ff29e2d66f8115aee75ca32f4e9f74f52eb,Retained input; not published,
dist/manifest.webmanifest,1039,c84c038d379cce7fb632292f8f1ef8cd7a9b1dae24b6ef168ad6a2fb1a84146a,Retained input; not published,
dist/sw.js,1857,83fce073ca6298d77e3b44e9bf213a25ab0d955e896b06d51e388eea15934065,Retained input; not published,
docs/AGENT-HANDOFF.md,2257,50773e3c426ea0bede9344c8cb95a99fc2d6071f729a21a5f36c1264c9483184,Proposal reconciled into repository docs,docs/AFTER-HOURS-MAP.md
docs/ARCHITECTURE.md,6467,0d21b5685c653d82c293181547596252918bcd01487f5765110fd6fa599497a4,Proposal reconciled into repository docs,docs/AFTER-HOURS-MAP.md
docs/ASSETS-AND-NOTICE.md,1271,0b3a3cf7cd9b3d04072187e32aa0fed6a35d9f136b23c56cbf77e9a3028a41df,Proposal reconciled into repository docs,docs/AFTER-HOURS-MAP.md
docs/DEPLOYMENT.md,4299,d573e9ca94e283eeb7e9a6e83cfaeebfc8e486856a3229ad1d182408dda09ebd,Proposal reconciled into repository docs,docs/AFTER-HOURS-MAP.md
